# Chlorophyll a intramolecular vibrational modes (Qy), differential FLN, TEA @ 4.5 K
# Source: Reimers, Ratsep, Freiberg, Front. Chem. 8:588289 (2020), Table 2
#   (reproducing Ratsep, Linnanto & Freiberg, J. Chem. Phys. 130, 194501, 2009)
# Verified: sum(reorg) = 370.1 cm^-1 (paper total 370); 72 modes; S_vib ~= 0.43.
# Low-polarity (TEA) set chosen as protein-interior proxy. S_k = lambda_k / omega_k.
# Used ONLY in g(t) as Franck-Condon sidebands (VIBRONIC=1); the classical
# reorg-shift stays phonon-only. Loader keeps modes >= VIBRONIC_MIN_CM (default 100).
# columns: omega_cm-1   lambda_cm-1
22    0.3
66    1.3
99    2.0
123   0.5
174   0.6
206   0.5
263   3.8
289   1.3
330   0.4
349   6.0
375   2.6
386   2.6
425   0.7
436   0.5
471   1.1
489   1.5
520   3.6
545   0.8
570   2.4
587   0.5
606   0.9
628   0.4
642   0.4
691   2.4
702   2.3
725   1.6
742   12.0
752   6.4
767   3.8
798   2.6
811   0.5
854   2.0
885   1.5
915   12.9
946   1.1
986   24.9
1032  2.9
1046  6.5
1071  4.8
1109  5.4
1117  4.7
1144  18.2
1157  7.3
1183  18.0
1209  16.9
1223  16.6
1236  9.3
1263  7.5
1275  3.7
1288  7.4
1306  3.6
1315  2.7
1329  22.5
1342  4.1
1354  3.7
1374  2.3
1390  5.6
1435  15.2
1467  1.1
1478  1.7
1495  7.7
1507  2.2
1519  4.5
1537  21.8
1552  15.4
1562  4.2
1590  1.4
1610  4.4
1649  0.1
1686  5.7
1698  2.0
1710  0.3
